job_id,title,company,location,description,contract_time,salary_predicted,latitude,longitude,category,created,job_url
5864439111,Data Engineer,IBM,"Chennai, Tamil Nadu","IBM is hiring for Data Engineer-Data Platforms-AWS/Databricks at Pune and Chennai location. Your Role and Responsibilities* As a Data Engineer specializing in Data Platforms on AWS, you will advise on, develop, and maintain data engineering solutions on the AWS Cloud ecosystem. You will design, build, and operate batch and real-time data pipelines using various AWS services. Your primary responsibilities will include: • 5 years experience in Design and Develop Data Pipelines: Design, build, and…",,0,13.06041,80.24963,IT Jobs,2026-09-01 16:22:52+00:00,https://www.adzuna.in/land/ad/5864439111?se=LD_PHLyt8RGWn_T67fT_Ug&utm_medium=api&utm_source=c45bc7b0&v=34B7ADB4FF85A0A1EAC3F7AF755853522348AC8D
5864435807,Data Engineer,Tata Consultancy Services,"Chennai, Tamil Nadu","Job Title : Google Data Engineer / Lead Experience : 5-15 years Job Summary : An experienced Google Data Engineer / Lead to design, develop, and maintain large-scale data processing systems on Google Cloud Platform (GCP). The ideal candidate should have a strong background in data engineering, data warehousing, and cloud-based data platforms. Responsibilities: Data Pipeline Development: Design, develop, and maintain data pipelines using Google Cloud Dataflow, Cloud Composer, and BigQuery. Data …",,0,13.06041,80.24963,IT Jobs,2026-09-01 16:22:24+00:00,https://www.adzuna.in/land/ad/5864435807?se=LD_PHLyt8RGWn_T67fT_Ug&utm_medium=api&utm_source=c45bc7b0&v=A8C2DB9206F082416499EDC21F940F46166629BE
5867036030,Data Engineer,Lorven Technologies Inc.,"Chennai, Tamil Nadu","Job Description – Azure Data Engineer Job Title: Azure Data Engineer Experience: 6 Years Location: Chennai Employment Type: Full-Time / FTE Job Summary We are looking for an experienced Azure Data Engineer with 6 years of hands-on experience in designing, developing, and maintaining scalable data engineering solutions using Python, Apache Spark, Azure Databricks, and Snowflake . The ideal candidate should have strong expertise in data processing, ETL/ELT pipelines, data transformation, and clou…",full_time,0,13.06041,80.24963,IT Jobs,2026-09-02 16:42:40+00:00,https://www.adzuna.in/land/ad/5867036030?se=LD_PHLyt8RGWn_T67fT_Ug&utm_medium=api&utm_source=c45bc7b0&v=DF89B94A09FBFE63ED8D5C928B26594026506742
5864425404,Data Engineer,IBM,India,"AWS Data Engineer - Databricks at Pune and Chennai location. Your Role and Responsibilities* As a Data Engineer specializing in Data Platforms on AWS, you will advise on, develop, and maintain data engineering solutions on the AWS Cloud ecosystem. You will design, build, and operate batch and real-time data pipelines using various AWS services. Your primary responsibilities will include: • 6 years' experience in Design and Develop Data Pipelines: Design, build, and operate batch and real-time d…",,0,,,IT Jobs,2026-09-01 16:20:34+00:00,https://www.adzuna.in/land/ad/5864425404?se=LD_PHLyt8RGWn_T67fT_Ug&utm_medium=api&utm_source=c45bc7b0&v=F34822946A9086CB558CCB93BF6DE2AF7080F0E0
5870528060,Data Engineer,ACL Digital,India,"ACL Digital is Hiring for Lead Data Engineer Experience : 9-13 Years Notice Period : Immediate Job Location : Bangalore ( Client Location) Interview Mode : L1 and L2 Virtual. We are seeking an experienced Databricks Data Engineer with strong AWS expertise to design, build, optimize, and support enterprise-scale data pipelines and Data Products. The engineer will be responsible for developing scalable Lakehouse solutions on AWS and Databricks, implementing Bronze/Silver/Gold data architectures, …",,0,,,IT Jobs,2026-09-04 16:57:55+00:00,https://www.adzuna.in/land/ad/5870528060?se=LD_PHLyt8RGWn_T67fT_Ug&utm_medium=api&utm_source=c45bc7b0&v=7E299FDE79DF145117B4C1B35E23D8112B040C46
5864426360,Data Engineer,Synechron,"Bangalore, Karnataka","Good day, We have opportunity for AWS Data Engineer Job Role: AWS Data Engineer Job Location: Synechron ( Bengaluru ) Experience- 8 to 10 years Notice: Immediate joiner to 15 days. About Synechron: Synechron is a global technology consulting firm that helps leading organizations accelerate digital transformation through innovation, expertise, and agility. With more than 16,500 professionals across around 60 offices in over 20 countries, we combine deep industry knowledge with advanced capabilit…",,0,,,IT Jobs,2026-09-01 16:20:46+00:00,https://www.adzuna.in/land/ad/5864426360?se=LD_PHLyt8RGWn_T67fT_Ug&utm_medium=api&utm_source=c45bc7b0&v=69AE03BFF5FC1E948052A62ADDA16CCD2D621BB2
5864430870,Data Engineer,EXL,India,"About the Role We are looking for a highly skilled AWS Data Engineer to design, build, and optimize scalable data solutions on AWS cloud. The ideal candidate should have strong expertise in data engineering, ETL/ELT development, cloud-native architectures, and modern data warehousing technologies. Key Responsibilities Design, develop, and maintain scalable data pipelines on AWS. Build and optimize ETL/ELT processes for structured and unstructured data. Develop data ingestion frameworks from mul…",,0,,,IT Jobs,2026-09-01 16:21:42+00:00,https://www.adzuna.in/land/ad/5864430870?se=LD_PHLyt8RGWn_T67fT_Ug&utm_medium=api&utm_source=c45bc7b0&v=A3E7642746CEFD231E55AF3945F31DC2BC9ED8AF
5875419844,Data Engineer,ValueLabs,"Hyderabad, Telangana","Dear Aspirants, Greetings from ValueLabs! We are hiring for Data engineer Role: Data Enginner Experience: 7 Years NP: Immediate Location : Hyderabad - Hybrid Job Description 7 years of data engineering experience • Experience with data modelling, warehousing and building ETL pipelines • Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets • Experience in at least one modern scripting or programming language, such as…",,0,17.40275,78.50806,IT Jobs,2026-09-08 14:41:19+00:00,https://www.adzuna.in/land/ad/5875419844?se=LD_PHLyt8RGWn_T67fT_Ug&utm_medium=api&utm_source=c45bc7b0&v=1645E3C7259B1A424B5D0BBA68A5C98E46290FCE
5864435034,Data Engineer,Straive,India,"Roles and Responsibilities Architect and maintain enterprise-grade ELT and ETL data pipelines using Python, PySpark, Kafka, and Databricks to manage large-scale risk data. Build and deploy GenAI agents utilizing Google ADK, Google Flash 2.5 LLMs, and Model Context Protocol (MCP) integrated with Human-in-the-Loop workflows. Design, automate, and deploy microservice integrations for data-intensive applications on OpenShift and Kubernetes using robust CI/CD pipelines. Implement data federation lay…",,0,,,IT Jobs,2026-09-01 16:22:15+00:00,https://www.adzuna.in/land/ad/5864435034?se=LD_PHLyt8RGWn_T67fT_Ug&utm_medium=api&utm_source=c45bc7b0&v=9AF7B00F66A39D9FDC3F8893DB62511D05D2AF29
5876872178,Data Engineer,Systems Plus,India,"SystemsPlus is hiring for Data Engineer, Exp : 4 yr Location : Pune KP - Hybrid What You’ll Do As a Senior Data Engineer you will: Support our solution architects, software developers, data analysts and data scientists on data and analytics initiatives Serve in a lead capacity on client initiatives Ensure optimal data delivery architecture is consistent throughout ongoing projects Be self-directed and comfortable supporting the data needs of multiple teams, systems and products Be excited by th…",,0,,,IT Jobs,2026-09-09 14:45:44+00:00,https://www.adzuna.in/land/ad/5876872178?se=LD_PHLyt8RGWn_T67fT_Ug&utm_medium=api&utm_source=c45bc7b0&v=99FD11254301C9696A955CB3525950A9A417D493
